Card ID,Card Name,Illustrator,Rarity,Release Date,Set Name,Date,Boxonly,Cib,Graded,Manualonly,New,Used
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-01-01,462000,156086,420000,2225233,201378,80000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-02-01,495000,164293,449996,2065969,224699,69741
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-03-01,490900,175018,446248,2065969,237130,80000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-04-01,590800,152605,537112,2085000,227830,54175
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-05-01,603600,177558,548712,3012500,249743,62488
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-06-01,611200,180000,555631,3012500,243450,80033
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-07-01,658900,180000,599023,3012500,256878,79893
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-08-01,630700,182584,573355,1528014,299900,87543
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-09-01,678900,196643,617195,2813422,299000,70603
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-10-01,670100,189942,609199,2450000,301414,89617
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-01-01,0,175477,0,0,229000,81753
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-02-01,457500,148750,448667,1157750,230750,88610
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-03-01,522500,145601,475000,2160750,230750,71051
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-04-01,457500,147500,400000,2129094,200930,55614
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-05-01,503900,137500,458065,2129094,197500,58161
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-06-01,501300,120737,455758,2095810,197500,60150
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-07-01,456562,107014,435737,2280000,195301,56000
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-08-01,456417,100501,382777,2010024,152500,71184
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-09-01,456535,108163,345320,2010024,143683,71000
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-10-01,456633,108525,364950,2010024,159443,61999
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-11-01,456712,111136,341370,2034518,188088,50423
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-12-01,370884,95500,369231,2060000,175000,38229
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-01-01,440800,105454,400717,2060000,168750,58863
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-02-01,440800,107916,378701,2060000,187500,72306
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-03-01,440800,105568,382777,2060000,187500,66933
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-04-01,440800,102453,349200,2060000,173650,54024
715604,Venusaur Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-05-01,440800,110000,329193,2060000,172772,49850
