"figure","authenticity_n","selling_price","sales","condition","character_type","year"
"2-1B",1,125.0,17.4,loose_figure,droid,"2022"
"2-1B",1,199.99,17.4,loose_figure,droid,"2022"
"2-1B",1,60.69,17.4,loose_figure,droid,"2022"
"2-1B",1,86.79,17.4,loose_figure,droid,"2022"
"2-1B",1,110.23,17.4,loose_figure,droid,"2022"
"2-1B",1,188.78,13.4,loose_figure,droid,"2023"
"2-1B",1,90.46,13.4,loose_figure,droid,"2023"
"2-1B",1,86.29,13.4,loose_figure,droid,"2023"
"2-1B",1,97.87,13.4,loose_figure,droid,"2023"
"2-1B",1,135.0,13.4,loose_figure,droid,"2023"
"2-1B",1,68.41,13.4,loose_figure,droid,"2023"
"2-1B",1,155.72,13.4,loose_figure,droid,"2023"
"2-1B",1,110.0,13.4,loose_figure,droid,"2023"
"2-1B",1,429.47,13.4,loose_figure,droid,"2023"
"2-1B",1,121.03,13.4,loose_figure,droid,"2023"
"2-1B",1,139.86,10.5,loose_figure,droid,"2024"
"2-1B",1,81.0,10.5,loose_figure,droid,"2024"
"2-1B",1,149.95,10.5,loose_figure,droid,"2024"
"2-1B",1,86.0,10.5,loose_figure,droid,"2024"
"2-1B",1,852.95,10.5,loose_figure,droid,"2024"
"2-1B",1,214.5,10.5,loose_figure,droid,"2024"
"2-1B",1,93.0,10.5,loose_figure,droid,"2024"
"2-1B",1,98.0,10.5,loose_figure,droid,"2024"
"2-1B",1,123.5,10.5,loose_figure,droid,"2024"
"2-1B",1,165.0,10.5,loose_figure,droid,"2024"
"2-1B",1,92.48,10.3,loose_figure,droid,"2025"
"2-1B",1,145.0,10.3,loose_figure,droid,"2025"
"2-1B",1,313.5,10.3,loose_figure,droid,"2025"
"2-1B",1,152.5,10.3,loose_figure,droid,"2025"
"2-1B",1,119.99,10.3,loose_figure,droid,"2025"
"2-1B",1,124.99,10.3,loose_figure,droid,"2025"
"2-1B",1,91.0,10.3,loose_figure,droid,"2025"
"2-1B",1,112.5,10.3,loose_figure,droid,"2025"
"2-1B",1,204.5,10.3,loose_figure,droid,"2025"
"2-1B",1,114.99,10.3,loose_figure,droid,"2025"
"2-1B",0,345.6,1.0,moc_figure,droid,"2009"
"2-1B",0,77.76,1.0,moc_figure,droid,"2011"
"2-1B",0,65.9,1.0,moc_figure,droid,"2012"
"2-1B",0,103.68,1.0,moc_figure,droid,"2012"
"2-1B",0,87.14,1.0,moc_figure,droid,"2012"
"2-1B",0,252.33,1.0,moc_figure,droid,"2013"
"2-1B",0,101.38,4.0,moc_figure,droid,"2014"
"2-1B",0,61.09,4.0,moc_figure,droid,"2014"
"2-1B",0,380.84,3.0,moc_figure,droid,"2014"
"2-1B",0,932.06,2.0,moc_figure,droid,"2014"
"2-1B",0,62.42,1.0,moc_figure,droid,"2014"
"2-1B",0,130.61,4.0,moc_figure,droid,"2014"
"2-1B",0,91.19,7.0,moc_figure,droid,"2014"
"2-1B",0,126.75,2.0,moc_figure,droid,"2014"
"2-1B",0,93.55,2.0,moc_figure,droid,"2014"
"2-1B",0,94.87,2.0,moc_figure,droid,"2014"
"2-1B",0,83.59,2.0,moc_figure,droid,"2014"
"2-1B",0,144.12,2.0,moc_figure,droid,"2015"
"2-1B",0,150.94,2.0,moc_figure,droid,"2015"
"2-1B",0,111.19,10.0,moc_figure,droid,"2015"
"2-1B",0,1975.61,1.0,moc_figure,droid,"2015"
"2-1B",0,544.85,5.0,moc_figure,droid,"2015"
"2-1B",0,130.5,4.0,moc_figure,droid,"2015"
"2-1B",0,123.08,7.0,moc_figure,droid,"2015"
"2-1B",0,116.73,1.0,moc_figure,droid,"2015"
"2-1B",0,181.51,3.0,moc_figure,droid,"2015"
"2-1B",0,83.56,4.0,moc_figure,droid,"2015"
"2-1B",0,617.88,1.0,moc_figure,droid,"2015"
"2-1B",0,102.83,2.0,moc_figure,droid,"2016"
"2-1B",0,224.27,2.0,moc_figure,droid,"2016"
"2-1B",0,133.94,8.0,moc_figure,droid,"2016"
"2-1B",0,96.04,5.0,moc_figure,droid,"2016"
"2-1B",0,116.63,9.0,moc_figure,droid,"2016"
"2-1B",0,135.5,3.0,moc_figure,droid,"2016"
"2-1B",0,95.13,3.0,moc_figure,droid,"2016"
"2-1B",0,93.61,1.0,moc_figure,droid,"2016"
"2-1B",0,87.78,4.0,moc_figure,droid,"2016"
"2-1B",0,99.68,2.0,moc_figure,droid,"2016"
"2-1B",0,118.75,2.0,moc_figure,droid,"2016"
"2-1B",0,133.86,3.0,moc_figure,droid,"2016"
"2-1B",0,131.77,3.0,moc_figure,droid,"2017"
"2-1B",0,132.5,1.0,moc_figure,droid,"2017"
"2-1B",0,139.06,1.0,moc_figure,droid,"2017"
"2-1B",0,138.33,6.0,moc_figure,droid,"2017"
"2-1B",0,167.5,1.0,moc_figure,droid,"2017"
"2-1B",0,163.69,4.0,moc_figure,droid,"2017"
"2-1B",0,215.02,1.0,moc_figure,droid,"2017"
"2-1B",0,130.25,2.0,moc_figure,droid,"2017"
"2-1B",0,150.27,1.0,moc_figure,droid,"2017"
"2-1B",0,181.5,1.0,moc_figure,droid,"2017"
"2-1B",0,132.11,3.0,moc_figure,droid,"2017"
"2-1B",0,252.93,3.0,moc_figure,droid,"2017"
"2-1B",0,121.2,2.0,moc_figure,droid,"2018"
"2-1B",0,155.9,4.0,moc_figure,droid,"2018"
"2-1B",0,167.67,3.0,moc_figure,droid,"2018"
"2-1B",0,86.96,1.0,moc_figure,droid,"2018"
"2-1B",0,183.5,5.0,moc_figure,droid,"2018"
"2-1B",0,138.82,2.0,moc_figure,droid,"2018"
"2-1B",0,180.83,4.0,moc_figure,droid,"2018"
"2-1B",0,131.6,5.0,moc_figure,droid,"2018"
"2-1B",0,170.19,3.0,moc_figure,droid,"2018"
"2-1B",0,92.25,2.0,moc_figure,droid,"2018"
"2-1B",0,152.47,5.0,moc_figure,droid,"2018"
"2-1B",0,154.65,3.0,moc_figure,droid,"2018"
"2-1B",0,161.95,6.0,moc_figure,droid,"2019"
"2-1B",0,195.58,6.0,moc_figure,droid,"2019"
"2-1B",0,125.03,2.0,moc_figure,droid,"2019"
"2-1B",0,146.66,4.0,moc_figure,droid,"2019"
"2-1B",0,260.49,6.0,moc_figure,droid,"2019"
"2-1B",0,133.81,4.0,moc_figure,droid,"2019"
"2-1B",0,99.72,3.0,moc_figure,droid,"2019"
"2-1B",0,180.58,4.0,moc_figure,droid,"2019"
"2-1B",0,188.46,3.0,moc_figure,droid,"2019"
"2-1B",0,258.38,3.0,moc_figure,droid,"2019"
"2-1B",0,129.41,1.0,moc_figure,droid,"2019"
"2-1B",0,109.5,1.0,moc_figure,droid,"2019"
"2-1B",0,387.91,2.0,moc_figure,droid,"2020"
"2-1B",0,241.58,5.0,moc_figure,droid,"2020"
"2-1B",0,164.73,4.0,moc_figure,droid,"2020"
"2-1B",0,176.61,5.0,moc_figure,droid,"2020"
"2-1B",0,263.81,6.0,moc_figure,droid,"2020"
"2-1B",0,131.06,6.0,moc_figure,droid,"2020"
"2-1B",0,71.0,1.0,moc_figure,droid,"2020"
"2-1B",0,150.28,4.0,moc_figure,droid,"2020"
"2-1B",0,89.5,2.0,moc_figure,droid,"2020"
"2-1B",0,160.69,5.0,moc_figure,droid,"2020"
"2-1B",0,246.42,5.0,moc_figure,droid,"2021"
"2-1B",0,259.75,2.0,moc_figure,droid,"2021"
"2-1B",0,227.51,8.0,moc_figure,droid,"2021"
"2-1B",0,216.59,6.0,moc_figure,droid,"2021"
"2-1B",0,121.75,2.0,moc_figure,droid,"2021"
"2-1B",0,208.0,2.0,moc_figure,droid,"2021"
"2-1B",0,407.68,2.0,moc_figure,droid,"2021"
"2-1B",0,234.87,5.0,moc_figure,droid,"2021"
"2-1B",0,363.57,3.0,moc_figure,droid,"2021"
"2-1B",0,329.0,1.0,moc_figure,droid,"2021"
"2-1B",0,165.33,3.0,moc_figure,droid,"2022"
"2-1B",0,185.5,1.0,moc_figure,droid,"2022"
"2-1B",0,389.4,1.0,moc_figure,droid,"2022"
"2-1B",0,261.57,3.0,moc_figure,droid,"2022"
"2-1B",0,232.5,1.0,moc_figure,droid,"2022"
"2-1B",0,169.0,2.0,moc_figure,droid,"2022"
"2-1B",0,412.36,3.0,moc_figure,droid,"2022"
"2-1B",0,169.38,4.0,moc_figure,droid,"2022"
"2-1B",0,271.85,5.0,moc_figure,droid,"2022"
"2-1B",0,178.0,4.0,moc_figure,droid,"2022"
"2-1B",0,223.69,8.0,moc_figure,droid,"2022"
"2-1B",0,153.75,2.0,moc_figure,droid,"2023"
"2-1B",0,239.04,2.0,moc_figure,droid,"2023"
"2-1B",0,171.5,1.0,moc_figure,droid,"2023"
"2-1B",0,233.01,7.0,moc_figure,droid,"2023"
"2-1B",0,195.74,4.0,moc_figure,droid,"2023"
"2-1B",0,226.88,4.0,moc_figure,droid,"2023"
"2-1B",0,316.74,2.0,moc_figure,droid,"2023"
"2-1B",0,180.2,5.0,moc_figure,droid,"2023"
"2-1B",0,185.62,6.0,moc_figure,droid,"2023"
"2-1B",0,205.4,4.0,moc_figure,droid,"2023"
"2-1B",0,324.35,2.0,moc_figure,droid,"2023"
"2-1B",0,210.13,4.0,moc_figure,droid,"2023"
"2-1B",0,202.86,4.0,moc_figure,droid,"2024"
"2-1B",0,156.11,2.0,moc_figure,droid,"2024"
"2-1B",0,264.61,5.0,moc_figure,droid,"2024"
"2-1B",0,275.19,3.0,moc_figure,droid,"2024"
"2-1B",0,301.02,1.0,moc_figure,droid,"2024"
"2-1B",0,201.74,3.0,moc_figure,droid,"2024"
"2-1B",0,285.0,3.0,moc_figure,droid,"2024"
"2-1B",0,168.67,5.0,moc_figure,droid,"2024"
"2-1B",0,150.51,4.0,moc_figure,droid,"2024"
"2-1B",0,184.31,1.0,moc_figure,droid,"2025"
"2-1B",0,224.62,5.0,moc_figure,droid,"2025"
"2-1B",0,185.94,5.0,moc_figure,droid,"2025"
"2-1B",0,153.58,3.0,moc_figure,droid,"2025"
"2-1B",0,153.01,3.0,moc_figure,droid,"2025"
"2-1B",0,139.28,8.0,moc_figure,droid,"2025"
"2-1B",0,370.0,1.0,moc_figure,droid,"2025"
"2-1B",0,217.53,4.0,moc_figure,droid,"2025"
"2-1B",0,171.54,3.0,moc_figure,droid,"2025"
"2-1B",1,194.1,1.0,moc_figure,droid,"2013"
"2-1B",1,96.01,1.0,moc_figure,droid,"2014"
"2-1B",1,120.44,1.0,moc_figure,droid,"2014"
"2-1B",1,167.56,1.0,moc_figure,droid,"2014"
"2-1B",1,70.01,1.0,moc_figure,droid,"2014"
"2-1B",1,173.68,1.0,moc_figure,droid,"2014"
"2-1B",1,141.18,1.0,moc_figure,droid,"2014"
"2-1B",1,162.5,1.0,moc_figure,droid,"2014"
"2-1B",1,317.81,1.0,moc_figure,droid,"2015"
"2-1B",1,221.96,1.0,moc_figure,droid,"2015"
"2-1B",1,389.04,2.0,moc_figure,droid,"2015"
"2-1B",1,855.5,1.0,moc_figure,droid,"2015"
"2-1B",1,243.56,3.0,moc_figure,droid,"2015"
"2-1B",1,157.83,1.0,moc_figure,droid,"2015"
"2-1B",1,268.39,1.0,moc_figure,droid,"2016"
"2-1B",1,406.31,4.0,moc_figure,droid,"2016"
"2-1B",1,215.06,1.0,moc_figure,droid,"2016"
"2-1B",1,191.93,2.0,moc_figure,droid,"2016"
"2-1B",1,484.28,1.0,moc_figure,droid,"2016"
"2-1B",1,92.75,1.0,moc_figure,droid,"2016"
"2-1B",1,302.77,1.0,moc_figure,droid,"2016"
"2-1B",1,249.35,2.0,moc_figure,droid,"2016"
"2-1B",1,565.0,1.0,moc_figure,droid,"2017"
"2-1B",1,182.47,3.0,moc_figure,droid,"2017"
"2-1B",1,170.94,2.0,moc_figure,droid,"2017"
"2-1B",1,385.31,2.0,moc_figure,droid,"2017"
"2-1B",1,282.52,2.0,moc_figure,droid,"2017"
"2-1B",1,313.04,4.0,moc_figure,droid,"2017"
"2-1B",1,233.51,1.0,moc_figure,droid,"2017"
"2-1B",1,455.0,1.0,moc_figure,droid,"2018"
"2-1B",1,399.99,1.0,moc_figure,droid,"2018"
"2-1B",1,318.13,1.0,moc_figure,droid,"2018"
"2-1B",1,360.9,1.0,moc_figure,droid,"2018"
"2-1B",1,317.55,1.0,moc_figure,droid,"2018"
"2-1B",1,282.88,1.0,moc_figure,droid,"2018"
"2-1B",1,217.52,3.0,moc_figure,droid,"2019"
"2-1B",1,347.46,2.0,moc_figure,droid,"2019"
"2-1B",1,234.17,2.0,moc_figure,droid,"2019"
"2-1B",1,263.7,1.0,moc_figure,droid,"2019"
"2-1B",1,378.85,2.0,moc_figure,droid,"2019"
"2-1B",1,207.68,1.0,moc_figure,droid,"2019"
"2-1B",1,211.5,1.0,moc_figure,droid,"2020"
"2-1B",1,292.05,1.0,moc_figure,droid,"2020"
"2-1B",1,202.45,1.0,moc_figure,droid,"2020"
"2-1B",1,227.5,1.0,moc_figure,droid,"2020"
"2-1B",1,536.9,1.0,moc_figure,droid,"2021"
"2-1B",1,519.08,1.0,moc_figure,droid,"2021"
"2-1B",1,584.1,1.0,moc_figure,droid,"2021"
"2-1B",1,599.99,1.0,moc_figure,droid,"2021"
"2-1B",1,318.62,2.0,moc_figure,droid,"2021"
"2-1B",1,591.18,1.0,moc_figure,droid,"2021"
"2-1B",1,578.07,1.0,moc_figure,droid,"2022"
"2-1B",1,1714.66,1.0,moc_figure,droid,"2022"
"2-1B",1,1099.99,1.0,moc_figure,droid,"2022"
"2-1B",1,760.0,1.0,moc_figure,droid,"2022"
"2-1B",1,942.35,1.0,moc_figure,droid,"2022"
"2-1B",1,866.0,1.0,moc_figure,droid,"2022"
"2-1B",1,401.01,1.0,moc_figure,droid,"2022"
"2-1B",1,1202.81,3.0,moc_figure,droid,"2022"
"2-1B",1,1000.0,1.0,moc_figure,droid,"2023"
"2-1B",1,279.72,2.0,moc_figure,droid,"2023"
"2-1B",1,578.45,2.0,moc_figure,droid,"2023"
"2-1B",1,656.4,2.0,moc_figure,droid,"2023"
"2-1B",1,1152.0,1.0,moc_figure,droid,"2023"
"2-1B",1,641.76,1.0,moc_figure,droid,"2023"
"2-1B",1,787.0,1.0,moc_figure,droid,"2024"
"2-1B",1,1028.4,3.0,moc_figure,droid,"2024"
"2-1B",1,499.95,1.0,moc_figure,droid,"2024"
"2-1B",1,475.0,1.0,moc_figure,droid,"2024"
"2-1B",1,558.95,4.0,moc_figure,droid,"2024"
"2-1B",1,898.0,1.0,moc_figure,droid,"2024"
"2-1B",1,631.0,1.0,moc_figure,droid,"2024"
"2-1B",1,598.2,1.0,moc_figure,droid,"2024"
"2-1B",1,593.0,1.0,moc_figure,droid,"2024"
"2-1B",1,271.0,1.0,moc_figure,droid,"2024"
